CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary
619;France;Female;42;2;0;1;1;1;10134888
635;Spain;Female;35;7;0;2;1;1;6595165
571;France;Male;44;9;0;2;0;0;3843335
591;Spain;Female;39;3;0;3;1;0;14046938
475;France;Female;45;0;13426404;1;1;0;2782299
490;Spain;Male;31;3;14526023;1;0;1;11406677
804;Spain;Male;33;7;765486;1;0;1;9845345
556;France;Female;61;2;11741935;1;1;1;9415383
834;France;Female;49;2;13139456;1;0;0;19436576
637;Germany;Female;39;9;1378438;1;1;1;1176228
550;Germany;Male;38;2;10339138;1;0;1;9087813
601;Germany;Male;42;1;9849572;1;1;0;4001476
511;Spain;Female;66;4;0;1;1;0;164311
555;Spain;Male;33;1;5608469;2;0;0;17879813
751;Germany;Female;36;6;16983146;2;1;1;2775836
661;Germany;Female;35;5;15072553;2;0;1;11365685
604;Germany;Female;25;5;15778084;2;1;1;5842681
524;France;Female;36;10;0;2;1;0;10961457
769;France;Male;29;8;0;2;1;1;17229061
814;Germany;Male;29;8;970864;2;1;1;19727613
710;Spain;Male;22;8;0;2;0;0;9964504
665;France;Female;40;6;0;1;1;1;16184803
623;France;Female;44;6;0;2;0;0;16716243
738;France;Male;31;9;8267415;1;1;0;4197072
670;Spain;Female;65;1;0;1;1;1;17765568
582;Germany;Male;32;1;8893862;1;1;1;1005453
785;Germany;Female;36;2;9980685;1;0;1;3697652
828;France;Male;34;8;12943334;2;0;0;3813177
656;France;Female;39;6;0;2;1;0;14106988
770;France;Male;24;9;10182707;1;1;0;16725635
686;France;Male;25;1;0;2;0;1;1645937
461;Germany;Female;34;5;6366393;1;0;1;16778428
584;Spain;Female;48;2;2131462;1;1;0;7516125
635;Spain;Female;29;8;13829694;2;1;0;14107551
735;France;Male;44;9;12068163;1;1;0;7483634
758;France;Female;33;7;0;2;0;0;8299647
717;Spain;Female;22;6;10106025;1;0;1;8469956
684;France;Male;30;2;0;2;1;0;8347382
660;Germany;Male;31;9;12518975;2;1;1;13987443
704;Germany;Female;24;7;11303422;1;1;0;16250348
615;Spain;Female;41;9;10901323;1;1;0;19649996
628;Germany;Male;27;5;9582649;2;1;0;15599696
510;France;Female;30;0;0;2;1;1;13055347
754;Germany;Female;55;3;16160881;1;1;0;808085
850;Spain;Female;45;2;12231121;1;1;1;194825
510;France;Male;65;2;0;2;1;1;4807161
616;Spain;Male;30;5;0;2;0;1;19610851
687;Germany;Female;34;7;11138818;2;1;0;14856476
807;France;Male;35;3;17479015;1;1;1;60036
616;Spain;Female;32;6;0;2;1;1;4300146
501;France;Male;57;10;0;2;1;1;4784719
850;Spain;Male;30;2;14104001;1;1;1;59782
759;France;Male;42;4;10542018;1;0;1;12140906
516;Spain;Male;50;5;0;1;0;1;14614593
550;France;Male;37;3;0;1;1;1;17967031
